gene,pooled_rho
CYSTM1,0.1458716612765606
ANKHD1,-0.1006813519168134
NDFIP1,-0.2845047205870716
ARHGAP26,-0.2121511799104259
TCERG1,-0.2066870509710016
PPP2R2B,0.1765102392007631
CSNK1A1,-0.131297402930361
ANXA6,0.150526202665746
CCDC69,-0.2062693278028411
LARP1,-0.1458027063832478
CYFIP2,-0.1725610142359254
ADAM19,0.1463789013391078
CLINT1,-0.1325108040522
PTTG1,0.2585358755747347
CCNG1,0.1656247598829803
MAT2B,0.1054943207684691
LCP2,-0.1609762745250026
NPM1,-0.1323021606092392
ATP6V0E1,0.2591078474612002
THOC3,0.1665432283045073
HIGD2A,0.2827964025430269
CLTB,0.1610757424058072
NSD1,-0.2011870818038893
PRELID1,0.1257409617312642
LMAN2,0.2305531932816854
TMED9,0.1344219961399841
FAM153A,-0.1330555232662922
PHYKPL,-0.1017670051128869
LTC4S,0.1422342007424921
SERPINB1,0.126198035434894
NQO2,0.118705475358172
LYRM4,-0.102745485840731
RREB1,-0.2125808242046495
TMEM14C,0.1592489705089255
NEDD9,-0.1096361291015448
ADTRP,0.1272186949107752
NOL7,0.1191533968402684
JARID2,-0.1994657022298098
MYLIP,-0.1740856900354261
ATXN1,0.1335767811892902
NUP153,-0.1309918062598073
CDKAL1,-0.1362234770409026
SOX4,-0.5805974541513325
RIPOR2,-0.2396196738318027
CARMIL1,-0.1306317828545934
HLA-A,0.1624086538362791
PPP1R11,0.1784294798827106
ABCF1,-0.1320119064571648
MRPS18B,0.123750007477938
PPP1R18,0.129288182443877
MICB,0.1343845758200569
DDX39B,-0.1449798201268916
TNF,0.1187556266098458
LTB,0.2538882725392639
AIF1,-0.3310074675466784
CSNK2B,0.2012560155206662
CLIC1,0.3788947327761116
HSPA1A,0.1554396536624644
RNF5,0.1693351179092127
HLA-DRB1,0.1912426483675263
PSMB8,0.1868562101641983
PSMB9,0.2624465473369474
HLA-DPA1,0.2891581407375132
HLA-DPB1,0.2709348318703493
CUTA,0.296800938990568
SMIM29,0.2316542656829303
NUDT3,-0.1233053108059495
SNRPC,0.1310541724700618
ETV7,0.1223322877827768
KCTD20,-0.150370908254192
STK38,-0.2727114777630399
SRSF3,-0.123409866775844
PI16,0.2618502548764461
PIM1,0.1954283952610128
CCDC167,0.1311080758106076
BTBD9,-0.1039127732748021
CCND3,-0.2695211630301073
RPL7L1,-0.1671373609475448
MEA1,0.181199926060614
PTK7,-0.3484783244778027
DNPH1,0.2165329254572979
MRPL14,0.1321817330875234
CLIC5,0.1078935554933572
CD2AP,-0.1821488972098858
TMEM14A,0.2851429457672624
ZNF451,-0.171424589481354
PHF3,-0.1420363240125655
SMAP1,0.1096171515263598
KCNQ5,-0.2725778690491529
COX7A2,0.1597169076990714
SENP6,-0.1386278521680725
PHIP,-0.1144814071886394
TENT5A,-0.1345169784051401
SYNCRIP,-0.1631163827464346
AKIRIN2,0.1058941133339154
CASP8AP2,0.1027528959820008
BACH2,-0.2802646578081522
PNISR,-0.1272731519247992
PRDM1,0.1836260480574627
SCML4,-0.1486815059482715
SEC63,-0.1434215013538025
SNX3,0.1045000979461881
SESN1,-0.2618181403279655
AMD1,-0.1536364994647741
GTF3C6,0.1528446949535981
SLC16A10,-0.3419285114721506
REV3L,-0.1170433783158949
FYN,-0.1233834759134584
DSE,-0.1191307382344427
CEP85L,-0.1331648053764089
ASF1A,0.1353962042075628
FAM184A,-0.1571458946837301
MAN1A1,-0.1114668608953727
HSF2,-0.2027083451606636
THEMIS,-0.1663262738461436
ARHGAP18,0.1296239691159264
TMEM200A,0.2149899955532556
MED23,-0.1833568586140369
HBS1L,-0.1123036504278131
PDE7B,-0.3052640317603562
BCLAF1,-0.1491600277603982
PERP,0.1543555545461047
HECA,-0.1276696490097498
HIVEP2,-0.1073451830875882
SF3B5,0.1554749563249857
STX11,0.1178723208026938
UTRN,-0.1767061922627612
ZC3H12D,0.1586742791008282
LATS1,-0.139472342202086
PCMT1,0.1892689861388643
SYNE1,-0.1051546226282643
IPCEF1,-0.3288551984756288
SCAF8,-0.1162805571535457
ARID1B,-0.1398384809640348
SNX9,-0.167145820635758
MRPL18,0.124689307485288
MAP3K4,-0.1577716622596266
MPC1,0.129300517317365
FAM120B,-0.1237512201278665
PSMB1,0.2141695823303701
PRKAR1B,-0.2395372732614082
C7orf50,0.2050993730227214
MAD1L1,-0.1180344958104455
EIF3B,-0.1349119799630055
CHST12,0.1333424044403236
FOXK1,-0.1402834225328358
WIPI2,-0.1309763947783517
ACTB,0.1930771270854716
RNF216,-0.1481497826562021
KDELR2,0.1585050693669275
RPA3,0.25443781808714
ICA1,0.1101516617148943
NDUFA4,0.1905345544393843
PHF14,-0.1670613248872878
BZW2,-0.3006317556773037
CDCA7L,-0.453247264448357
